English,Thai
but if the servant shall plainly say   i love my master  my wife  and my children  i will not go out free  ,ถ้า ทาส นั้น มา กล่าว เป็น ที่ เข้าใจ ชัดเจน ว่า` ข้าพเจ้า รัก นาย และ ลูก เมีย ของ ข้าพเจ้า ข้าพเจ้า ไม่ อยาก ออก ไป เป็น ไทย 
 if a man strikes his servant s eye  or his maid s eye  and destroys it  he shall let him go free for his eye s sake ,พระราชบัญญัติ เกี่ยว กับ ความ รับผิดชอบ ของ เจ้าของ สัตว์ ถ้า ผู้ ใด ตี นัยน์ตา ของ ทาส ชาย หญิง ให้ บอด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น ให้ เป็น ไทย เนื่อง ด้วย นัยน์ตา ของ เขา
if he strikes out his male servant s tooth  or his female servant s tooth  he shall let him go free for his tooth s sake ,ถ้า ผู้ ใด ทำ ให้ ฟัน ทาส ชาย หญิง หลุด ไป เขา ต้อง ปล่อย ทาส ผู้ นั้น เป็น ไทย เนื่อง ด้วย ฟัน ของ เขา
you will know the truth  and the truth will make you free  ,และ ท่าน ทั้งหลาย จะ รู้จัก ความ จริง และ ความ จริง นั้น จะ ทำ ให้ ท่าน ทั้งหลาย เป็น ไทย 
they answered him   we are abraham s seed  and have never been in bondage to anyone  how do you say   you will be made free   ,เขา ทั้งหลาย ทูล ตอบ พระองค์ ว่า เรา สืบ เชื้อสาย มา จาก อับราฮัม และ ไม่ เคย เป็น ทาส ใคร เลย เหตุ ไฉน ท่าน จึง กล่าว ว่า ` ท่าน ทั้งหลาย จะ เป็น ไทย  
if therefore the son makes you free  you will be free indeed ,เหตุ ฉะนั้น ถ้า พระบุตร จะ ทรง กระทำ ให้ ท่าน ทั้งหลาย เป็น ไทย ท่าน ก็ จะ เป็น ไทย จริง ๆ
there is neither jew nor greek  there is neither slave nor free man  there is neither male nor female  for you are all one in christ jesus ,จะ ไม่ เป็น ยิว หรือ ก รีก จะ ไม่ เป็น ทาส หรือ ไทย จะ ไม่ เป็น ชาย หรือ หญิง เพราะ ว่า ท่าน ทั้งหลาย เป็น อัน หนึ่ง อัน เดียว กัน ใน พระเยซู คริสต์
for it is written that abraham had two sons  one by the handmaid  and one by the free woman ,เพราะ มี เขียน ไว้ ว่า อับราฮัม มี บุตร ชาย สอง คน คน หนึ่ง เกิด จาก หญิง ทา สี อีก คน หนึ่ง เกิด จาก หญิง ที่ เป็น ไทย
however  the son by the handmaid was born according to the flesh  but the son by the free woman was born through promise ,บุตร ที่ เกิด จาก หญิง ทา สี นั้น ก็ เกิด ตาม เนื้อหนัง แต่ ส่วน บุตร ที่ เกิด จาก หญิง ที่ เป็น ไทย นั้น เกิด ตาม พระสัญญา
but the jerusalem that is above is free  which is the mother of us all ,แต่ว่า กรุงเยรูซาเล็ม ซึ่ง อยู่ เบื้องบน นั้น เป็น ไทย เป็น มารดา ของ เรา ทั้ง ปวง
