English,Thai
FThen someone mentioned Thailand . It was as s...,Fแล้ว ก็ มี คน เอ่ย ถึง ประเทศไทย ขึ้น มา ง่าย...
FI learned that Thailand means freedom .,ฉัน ก็ เลย รู้ ว่า ประเทศไทย คือ อิสรภาพ
F- Why would you want to come here ?,F- ทำไม ลูก ถึง อยาก มา ประเทศไทย นี่ ล่ะ ?
FThey take drugs seriously .,Fประเทศไทย จริงจัง กับ คดียาเสพย์ ติด มาก
FI'm still here in Thailand .,Fหนู ยัง อยู่ ที่ ประเทศไทย ค่ะ
FWe want to see it . That's why we tried...,Fแล้ว ก็ อยาก เห็น นะ ครับ เลย เลย พยายาม คิด ...
FIdeas for Thailand,FI desประเทศไทย
FThe Asia Pacific Network of Sex Worker in Th..,FTheAsiaPacificNetworkofSexWorker ใน ประเทศไท...
FThai is the official language in Thailand .,Fภาษา ไทย เป็น ภาษา ราชการ ใน ประเทศไทย
FBangkok is the capital of Thailand .,Fกรุงเทพมหานคร เป็น เมือง หลวง ของ ประเทศไทย
